model,roc_auc,pr_auc,best_threshold,precision,recall,f1_score,tn,fp,fn,tp,f1
Logistic Regression,0.5688429963120695,0.005851274031994844,0.007802441317741702,0.06249999999960938,0.009259259259250686,0.01612903223558793,24640,15,107,1,0.01612903223556192
Random Forest,0.5291911715000337,0.004885905715702573,0.2262721384458646,0.00866336633663259,0.0648148148147548,0.01528384277395931,23854,801,101,7,0.01528384277395597
XGBoost,0.5379304776283077,0.004694671605034582,0.2076091468334198,0.005675029868578086,0.17592592592576303,0.010995370364315681,21326,3329,89,19,0.010995370364315044
LightGBM,0.5746732688884383,0.005770140994043521,0.5540744482994995,0.008278716798895885,0.22222222222201646,0.01596275356806644,21780,2875,84,24,0.01596275356806538
