grain,metric,group_A,group_B,A_mean,B_mean,mean_diff_A_minus_B,ci95_low,ci95_high,t_stat,t_pvalue,mannwhitney_u,mw_pvalue,n_A,n_B
vehicle,mean_downtime_hours,predictive,scheduled,0.1247386154726416,0.15988466794077602,-0.03514605246813442,-0.05686532308705429,-0.013426781849214541,-3.1716072903614045,0.0016134043354908089,25650.0,0.0007392435928049635,269,231
vehicle,breakdown_rate,predictive,scheduled,0.0032266494628584164,0.00569688380424943,-0.0024702343413910135,-0.0033940524373062358,-0.0015464162454757913,-5.240826482949422,2.5132244206488296e-07,23235.0,2.612450190882002e-07,269,231
record,downtime_hours,predictive,scheduled,0.12506418281358023,0.16021853242845532,-0.0351543496148751,-0.05716512614351062,-0.01314357308623958,-3.130342042019542,0.0017465647637147819,1214826749.5,2.60496204321606e-06,53519,45531
record,breakdown_event_rate,predictive,scheduled,0.0032324968702703715,0.005666468999143441,-0.0024339721288730693,-0.003274601194322718,-0.0015933430634234207,-5.674914070944934,1.392148885978866e-08,1215421275.0,6.630837696073302e-09,53519,45531
