metric,treatment_mean,control_mean,diff_t_minus_c,test,stat,p_value,n_treat,n_control,mw_u,mw_p
harsh_acceleration_event_rate,0.029173031970698128,0.05404861468279702,-0.024875582712098894,chi2,390.8487087771525,5.40894844433272e-87,54331,44719,,
braking_event_rate,0.10246452301632586,0.10067309197432858,0.0017914310419972768,chi2,0.8425020010235575,0.35868217637859534,54331,44719,,
maintenance_cost_usd_mean,33.751131214223925,33.06113374628234,0.6899974679415877,welch_t,0.3968296804688492,0.6914939445460593,54331,44719,1223736198.5,0.04633200741559098
downtime_hours_mean,0.14365610793101546,0.13826874482881996,0.005387363102195508,welch_t,0.4828037399299553,0.6292361957635235,54331,44719,1215326647.5,0.49792089566598363
